NOME,MARCA,SITUAÇÃO,TIPO DE GUINCHO
HR,HYUNDAI,Pane mecânica,Guincho de cabo
1113,MERCEDES-BENZ,Acidente de trânsito,Guincho de plataforma
1214,MERCEDES-BENZ,Pneu furado,Guincho de cabo
1318,MERCEDES-BENZ,Problemas elétricos,Guincho elétrico
1519,MERCEDES-BENZ,Veículo preso ou atolado,Guincho de cabo
1614,MERCEDES-BENZ,Veículo sobrecarregado,Guincho de tambor
1620,MERCEDES-BENZ,Transporte especializado,Guincho Hidráulico
7000D,AGRALE,Reboque de veículos desativados,Guincho de Reboque Especializado
709,MERCEDES-BENZ,Situações de emergência,Guincho de resgate
710,MERCEDES-BENZ,Manutenção programada,Movimentação dentro da oficina
912,MERCEDES-BENZ,Pane mecânica,Guincho de cabo
2000,MERCEDES-BENZ,Acidente de trânsito,Guincho de plataforma
TRAILER,TRAILER,Pneu furado,Guincho de cabo
F-12000,FORD,Problemas elétricos,Guincho elétrico
MASCARELLO,VOLKSWAGEN,Veículo preso ou atolado,Guincho de cabo
GRANMICRO,VOLKSWAGEN,Veículo sobrecarregado,Guincho de tambor
ONIBUS,ONIBUS,Transporte especializado,Guincho Hidráulico
GUINDASTE,UTILITARIOS PESADOS,Reboque de veículos desativados,Guincho de Reboque Especializado
EMPILHADEIRA,UTILITARIOS PESADOS,Situações de emergência,Guincho de resgate
112,SCANIA,Manutenção programada,Transporte para ou de uma oficina
10000,AGRALE,Pane mecânica,Guincho de cabo
13000,AGRALE,Acidente de trânsito,Guincho de plataforma
14000,AGRALE,Pneu furado,Guincho de cabo
1600,AGRALE,Problemas elétricos,Guincho elétrico
1800,AGRALE,Veículo preso ou atolado,Guincho de cabo
4500,AGRALE,Veículo sobrecarregado,Guincho de tambor
5000,AGRALE,Transporte especializado,Guincho Hidráulico
6000,AGRALE,Reboque de veículos desativados,Guincho de Reboque Especializado
7000,AGRALE,Situações de emergência,Guincho de resgate
7500,AGRALE,Manutenção programada,Levantamento para manutenção em áreas elevadas
8000,AGRALE,Pane mecânica,Guincho de cabo
8500,AGRALE,Acidente de trânsito,Guincho de plataforma
8700,AGRALE,Pneu furado,Guincho de cabo
9200,AGRALE,Problemas elétricos,Guincho elétrico
D-12000,CHEVROLET,Veículo preso ou atolado,Guincho de cabo
D-13000,CHEVROLET,Veículo sobrecarregado,Guincho de tambor
D-14000,CHEVROLET,Transporte especializado,Guincho Hidráulico
19000,CHEVROLET,Reboque de veículos desativados,Guincho de Reboque Especializado
21000,CHEVROLET,Situações de emergência,Guincho de resgate
22000,CHEVROLET,Manutenção programada,Transporte de peças e equipamentos pesados
D-6000,CHEVROLET,Pane mecânica,Guincho de cabo
C-60,CHEVROLET,Acidente de trânsito,Guincho de plataforma
D-40,CHEVROLET,Pneu furado,Guincho de cabo
D-60,CHEVROLET,Problemas elétricos,Guincho elétrico
